,name,Date,Number
23,Hashima,2017-02-01,17343
24,Hashima,2018-02-01,19778
25,Hashima,2019-02-01,22357
26,Hashima,2020-02-01,3829
27,Hashima,2021-02-01,0
28,Hashima,2022-02-01,311
29,Hashima,2023-02-01,14155
30,Hashima,2009-03-01,0
31,Hashima,2010-03-01,4755
32,Hashima,2011-03-01,5541
33,Hashima,2012-03-01,6713
34,Hashima,2013-03-01,11139
35,Hashima,2014-03-01,17379
36,Hashima,2015-03-01,23822
37,Hashima,2016-03-01,31096
38,Hashima,2017-03-01,29819
39,Hashima,2018-03-01,29835
40,Hashima,2019-03-01,25873
41,Hashima,2020-03-01,11064
42,Hashima,2021-03-01,6656
43,Hashima,2022-03-01,12172
44,Hashima,2023-03-01,23827
45,Hashima,2009-04-01,0
46,Hashima,2010-04-01,5731
47,Hashima,2011-04-01,4368
48,Hashima,2012-04-01,7198
49,Hashima,2013-04-01,9488
50,Hashima,2014-04-01,14256
51,Hashima,2015-04-01,15647
52,Hashima,2016-04-01,19257
53,Hashima,2017-04-01,20446
54,Hashima,2018-04-01,19869
55,Hashima,2019-04-01,22798
56,Hashima,2020-04-01,565
57,Hashima,2021-04-01,4211
58,Hashima,2022-04-01,12564
59,Hashima,2023-04-01,11177
60,Hashima,2009-05-01,0
61,Hashima,2010-05-01,8773
62,Hashima,2011-05-01,10018
63,Hashima,2012-05-01,11422
64,Hashima,2013-05-01,14300
65,Hashima,2014-05-01,20384
66,Hashima,2015-05-01,27265
67,Hashima,2016-05-01,19025
68,Hashima,2017-05-01,31421
69,Hashima,2018-05-01,27270
70,Hashima,2019-05-01,27400
71,Hashima,2020-05-01,0
72,Hashima,2021-05-01,0
73,Hashima,2022-05-01,17702
74,Hashima,2023-05-01,19791
75,Hashima,2009-06-01,0
76,Hashima,2010-06-01,5316
77,Hashima,2011-06-01,4839
78,Hashima,2012-06-01,5905
79,Hashima,2013-06-01,8839
80,Hashima,2014-06-01,15860
81,Hashima,2015-06-01,22802
82,Hashima,2016-06-01,14425
83,Hashima,2017-06-01,23255
84,Hashima,2018-06-01,21122
85,Hashima,2019-06-01,22750
86,Hashima,2020-06-01,352
87,Hashima,2021-06-01,1164
88,Hashima,2022-06-01,6657
89,Hashima,2023-06-01,11294
90,Hashima,2009-07-01,0
91,Hashima,2010-07-01,5407
92,Hashima,2011-07-01,8528
93,Hashima,2012-07-01,6306
94,Hashima,2013-07-01,8330
95,Hashima,2014-07-01,2725
96,Hashima,2015-07-01,17830
97,Hashima,2016-07-01,16436
98,Hashima,2017-07-01,22322
99,Hashima,2018-07-01,14878
100,Hashima,2019-07-01,12587
101,Hashima,2020-07-01,2547
102,Hashima,2021-07-01,3774
103,Hashima,2022-07-01,3055
104,Hashima,2023-07-01,2567
105,Hashima,2009-08-01,0
106,Hashima,2010-08-01,9262
107,Hashima,2011-08-01,10279
108,Hashima,2012-08-01,10858
109,Hashima,2013-08-01,17383
110,Hashima,2014-08-01,12147
111,Hashima,2015-08-01,22184
112,Hashima,2016-08-01,32621
113,Hashima,2017-08-01,26609
114,Hashima,2018-08-01,23260
115,Hashima,2019-08-01,12841
116,Hashima,2020-08-01,4436
117,Hashima,2021-08-01,934
118,Hashima,2022-08-01,6207
119,Hashima,2023-08-01,18871
120,Hashima,2009-09-01,0
121,Hashima,2010-09-01,10692
122,Hashima,2011-09-01,12184
123,Hashima,2012-09-01,8638
124,Hashima,2013-09-01,17448
125,Hashima,2014-09-01,22113
126,Hashima,2015-09-01,29734
127,Hashima,2016-09-01,23169
128,Hashima,2017-09-01,25511
129,Hashima,2018-09-01,23898
130,Hashima,2019-09-01,11666
131,Hashima,2020-09-01,0
132,Hashima,2021-09-01,2385
133,Hashima,2022-09-01,4005
134,Hashima,2023-09-01,18621
135,Hashima,2009-10-01,0
136,Hashima,2010-10-01,12529
137,Hashima,2011-10-01,14529
138,Hashima,2012-10-01,12894
139,Hashima,2013-10-01,18665
140,Hashima,2014-10-01,18191
141,Hashima,2015-10-01,30718
142,Hashima,2016-10-01,26470
143,Hashima,2017-10-01,28408
144,Hashima,2018-10-01,2740
145,Hashima,2019-10-01,0
146,Hashima,2020-10-01,6396
147,Hashima,2021-10-01,10548
148,Hashima,2022-10-01,19865
149,Hashima,2023-10-01,23865
150,Hashima,2009-11-01,0
151,Hashima,2010-11-01,10825
152,Hashima,2011-11-01,10273
153,Hashima,2012-11-01,10880
154,Hashima,2013-11-01,18732
155,Hashima,2014-11-01,24098
156,Hashima,2015-11-01,28670
157,Hashima,2016-11-01,31193
158,Hashima,2017-11-01,32786
159,Hashima,2018-11-01,0
160,Hashima,2019-11-01,0
161,Hashima,2020-11-01,17285
162,Hashima,2021-11-01,12020
163,Hashima,2022-11-01,23107
164,Hashima,2023-11-01,18022
165,Hashima,2009-12-01,0
166,Hashima,2010-12-01,3360
167,Hashima,2011-12-01,4959
168,Hashima,2012-12-01,3483
169,Hashima,2013-12-01,13169
170,Hashima,2014-12-01,13234
171,Hashima,2015-12-01,23112
172,Hashima,2016-12-01,21047
173,Hashima,2017-12-01,16299
174,Hashima,2018-12-01,0
175,Hashima,2019-12-01,0
176,Hashima,2020-12-01,13571
177,Hashima,2021-12-01,5965
178,Hashima,2022-12-01,12723
179,Hashima,2023-12-01,13198
